1.5327E+00, 1.2072E+00, 1.6507E+01, 2.0684E+01, 2.6792E+03, 0.0000E+00, 0.0000E+00, 1.2764E+03,
9.5096E-01, 1.2206E+00, 1.6547E+01, 1.1588E+01, 2.4250E+03, 1.2196E+03, 1.0000E+00, 1.2196E+03,
8.9939E-02, 1.2496E+00, 1.6577E+01, 6.2053E-01, 1.3756E+03, 2.6369E+03, 2.8399E+00, 9.2852E+02,
1.5193E+00, 1.2004E+00, 1.6752E+01, 2.0684E+01, 2.7430E+03, 0.0000E+00, 0.0000E+00, 1.2784E+03,
9.4190E-01, 1.2139E+00, 1.6802E+01, 1.1614E+01, 2.4918E+03, 1.2234E+03, 1.0000E+00, 1.2234E+03,
8.8162E-02, 1.2473E+00, 1.6845E+01, 6.2053E-01, 1.4259E+03, 2.6565E+03, 2.8352E+00, 9.3697E+02,
1.5080E+00, 1.1939E+00, 1.6994E+01, 2.0684E+01, 2.8034E+03, 0.0000E+00, 0.0000E+00, 1.2797E+03,
9.3423E-01, 1.2072E+00, 1.7055E+01, 1.1641E+01, 2.5559E+03, 1.2265E+03, 1.0000E+00, 1.2265E+03,
8.6505E-02, 1.2448E+00, 1.7112E+01, 6.2053E-01, 1.4763E+03, 2.6745E+03, 2.8303E+00, 9.4496E+02,
1.4988E+00, 1.1876E+00, 1.7231E+01, 2.0684E+01, 2.8601E+03, 0.0000E+00, 0.0000E+00, 1.2802E+03,
9.2782E-01, 1.2005E+00, 1.7304E+01, 1.1668E+01, 2.6171E+03, 1.2287E+03, 1.0000E+00, 1.2287E+03,
8.4956E-02, 1.2421E+00, 1.7379E+01, 6.2053E-01, 1.5267E+03, 2.6912E+03, 2.8254E+00, 9.5251E+02,
1.4912E+00, 1.1816E+00, 1.7464E+01, 2.0684E+01, 2.9133E+03, 0.0000E+00, 0.0000E+00, 1.2802E+03,
9.2259E-01, 1.1939E+00, 1.7549E+01, 1.1695E+01, 2.6754E+03, 1.2302E+03, 1.0000E+00, 1.2302E+03,
8.3505E-02, 1.2393E+00, 1.7646E+01, 6.2053E-01, 1.5771E+03, 2.7066E+03, 2.8204E+00, 9.5965E+02,
1.4854E+00, 1.1759E+00, 1.7691E+01, 2.0684E+01, 2.9630E+03, 0.0000E+00, 0.0000E+00, 1.2797E+03,
9.1842E-01, 1.1875E+00, 1.7789E+01, 1.1721E+01, 2.7306E+03, 1.2310E+03, 1.0000E+00, 1.2310E+03,
8.2144E-02, 1.2363E+00, 1.7914E+01, 6.2053E-01, 1.6276E+03, 2.7207E+03, 2.8152E+00, 9.6641E+02,
1.4810E+00, 1.1705E+00, 1.7914E+01, 2.0684E+01, 3.0092E+03, 0.0000E+00, 0.0000E+00, 1.2786E+03,
9.1522E-01, 1.1812E+00, 1.8026E+01, 1.1747E+01, 2.7826E+03, 1.2313E+03, 1.0000E+00, 1.2313E+03,
8.0863E-02, 1.2332E+00, 1.8181E+01, 6.2053E-01, 1.6780E+03, 2.7335E+03, 2.8099E+00, 9.7281E+02,
1.4779E+00, 1.1655E+00, 1.8132E+01, 2.0684E+01, 3.0521E+03, 0.0000E+00, 0.0000E+00, 1.2772E+03,
9.1292E-01, 1.1752E+00, 1.8257E+01, 1.1772E+01, 2.8314E+03, 1.2310E+03, 1.0000E+00, 1.2310E+03,
